epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1178.51,0.79713,0.51867,1.19532,0.72379,0.6845,0.69926,0.45774,0.96163,0.47831,1.33462,0.000246313,0.000246313,0.000246313
43,1204.55,0.81084,0.49931,1.20251,0.66447,0.7267,0.74095,0.46159,0.98783,0.4784,1.32292,0.000240125,0.000240125,0.000240125
44,1230.79,0.81062,0.50093,1.20353,0.76291,0.79761,0.77892,0.4701,0.92894,0.44818,1.28145,0.000233938,0.000233938,0.000233938
45,1256.28,0.8202,0.51628,1.19848,0.67947,0.75414,0.75794,0.48757,0.93581,0.46593,1.29951,0.00022775,0.00022775,0.00022775
46,1282.88,0.81114,0.50363,1.1964,0.75228,0.70929,0.73893,0.45259,0.95021,0.4706,1.32545,0.000221562,0.000221562,0.000221562
47,1310.79,0.7871,0.48773,1.19223,0.68704,0.72427,0.74202,0.45177,0.95237,0.47199,1.29216,0.000215375,0.000215375,0.000215375
48,1337.5,0.79964,0.5008,1.2011,0.74004,0.68279,0.73054,0.45105,0.93618,0.48062,1.28898,0.000209188,0.000209188,0.000209188
49,1364.47,0.78373,0.48456,1.19092,0.76004,0.6859,0.73206,0.46129,0.9323,0.47763,1.2913,0.000203,0.000203,0.000203
50,1391.15,0.77757,0.48152,1.18484,0.79285,0.65543,0.75369,0.4828,0.93017,0.46346,1.29194,0.000196812,0.000196812,0.000196812
51,1417.44,0.79262,0.48323,1.18536,0.78274,0.70901,0.73484,0.45194,0.95686,0.44709,1.30646,0.000190625,0.000190625,0.000190625
52,1443.98,0.7683,0.47025,1.17778,0.77543,0.68252,0.72172,0.45678,0.95885,0.46019,1.32019,0.000184438,0.000184438,0.000184438
53,1471.69,0.7699,0.48286,1.18406,0.81014,0.72975,0.77854,0.47497,0.92399,0.46669,1.27762,0.00017825,0.00017825,0.00017825
54,1498.18,0.77754,0.47446,1.18423,0.73347,0.74423,0.77267,0.47787,0.94994,0.45918,1.30099,0.000172063,0.000172063,0.000172063
55,1526.6,0.75771,0.45758,1.16739,0.82542,0.79717,0.80281,0.50217,0.94601,0.45861,1.30646,0.000165875,0.000165875,0.000165875
56,1553.58,0.76647,0.4625,1.18114,0.83681,0.71573,0.77501,0.49607,0.96432,0.461,1.31224,0.000159688,0.000159688,0.000159688
57,1580.19,0.76094,0.4542,1.16449,0.7968,0.78666,0.80845,0.54082,0.95021,0.43276,1.30239,0.0001535,0.0001535,0.0001535
58,1606.07,0.74864,0.45646,1.15759,0.8086,0.78051,0.78091,0.5045,0.94729,0.45008,1.31309,0.000147312,0.000147312,0.000147312
59,1631.83,0.77096,0.46414,1.1737,0.7825,0.78038,0.78441,0.50861,0.92988,0.44787,1.28933,0.000141125,0.000141125,0.000141125
60,1658.47,0.75223,0.44915,1.16308,0.81693,0.76035,0.81349,0.51243,0.93716,0.44371,1.29722,0.000134937,0.000134937,0.000134937
61,1684.78,0.74909,0.45185,1.15899,0.85696,0.71682,0.80644,0.53996,0.92829,0.44558,1.28975,0.00012875,0.00012875,0.00012875
62,1711.1,0.73534,0.44421,1.15434,0.81435,0.6784,0.75951,0.48672,0.92452,0.44464,1.29138,0.000122563,0.000122563,0.000122563
63,1736.68,0.73798,0.43689,1.15608,0.848,0.66183,0.75471,0.47024,0.93165,0.45183,1.29616,0.000116375,0.000116375,0.000116375
64,1763.11,0.72866,0.44211,1.15229,0.74832,0.76935,0.78062,0.4891,0.93479,0.43567,1.29642,0.000110188,0.000110188,0.000110188
65,1789.42,0.73596,0.43964,1.1544,0.79264,0.7711,0.7941,0.51096,0.95372,0.44246,1.30078,0.000104,0.000104,0.000104
66,1815.67,0.73288,0.43992,1.15194,0.83772,0.80403,0.80487,0.5121,0.94224,0.43352,1.29016,9.78125e-05,9.78125e-05,9.78125e-05
67,1842.31,0.73647,0.43265,1.15421,0.84834,0.82051,0.81925,0.52749,0.93779,0.42119,1.29834,9.1625e-05,9.1625e-05,9.1625e-05
68,1868.52,0.71905,0.42653,1.14364,0.84221,0.77596,0.81342,0.53496,0.93514,0.41642,1.29698,8.54375e-05,8.54375e-05,8.54375e-05
69,1895.08,0.72327,0.41801,1.14569,0.8212,0.75663,0.80576,0.52386,0.94719,0.42543,1.29911,7.925e-05,7.925e-05,7.925e-05
70,1922.01,0.73472,0.42473,1.14823,0.833,0.75806,0.79587,0.51251,0.95748,0.42634,1.30825,7.30625e-05,7.30625e-05,7.30625e-05
71,1944.38,0.64646,0.31373,1.11416,0.85281,0.74566,0.80926,0.52133,0.94602,0.4263,1.30098,6.6875e-05,6.6875e-05,6.6875e-05
72,1966.56,0.63936,0.30277,1.10565,0.86335,0.81628,0.82737,0.54271,0.93094,0.41804,1.29034,6.06875e-05,6.06875e-05,6.06875e-05
73,1988.78,0.62214,0.29903,1.09983,0.84236,0.80124,0.81857,0.54095,0.94048,0.43089,1.29486,5.45e-05,5.45e-05,5.45e-05
74,2011.59,0.62459,0.29287,1.09933,0.88998,0.78966,0.82168,0.55312,0.93046,0.42637,1.29152,4.83125e-05,4.83125e-05,4.83125e-05
75,2034.29,0.61633,0.28629,1.09217,0.88805,0.81996,0.82142,0.5478,0.93664,0.42165,1.29503,4.2125e-05,4.2125e-05,4.2125e-05
76,2056.95,0.60761,0.28602,1.0869,0.89398,0.79063,0.82154,0.55659,0.92926,0.42474,1.29028,3.59375e-05,3.59375e-05,3.59375e-05
77,2079.63,0.60833,0.28251,1.08679,0.87909,0.80735,0.8315,0.55598,0.93526,0.42111,1.29874,2.975e-05,2.975e-05,2.975e-05
78,2101.53,0.60556,0.28571,1.08784,0.87704,0.78614,0.82089,0.53531,0.94453,0.42062,1.30043,2.35625e-05,2.35625e-05,2.35625e-05
79,2124.51,0.59854,0.27765,1.08047,0.84437,0.81751,0.81858,0.55202,0.94004,0.42262,1.29955,1.7375e-05,1.7375e-05,1.7375e-05
80,2147.68,0.5979,0.28207,1.08093,0.85573,0.8238,0.82176,0.54934,0.93732,0.42162,1.29873,1.11875e-05,1.11875e-05,1.11875e-05
